1.3	org
1.3.6.1.4.1.2021.9.1.100	dskErrorFlag
1.3.6.1.4.1.2021.9.1.101	dskErrorMsg
1.3.6.1.4.1.2021.10	laTable
1.3.6.1.4.1.2021.10.1	laEntry
1.3.6.1.4.1.2021.10.1.1	laIndex
1.3.6.1.4.1.2021.10.1.2	laNames
1.3.6.1.4.1.2021.10.1.3	laLoad
1.3.6.1.4.1.2021.10.1.4	laConfig
1.3.6.1.4.1.2021.10.1.5	laLoadInt
1.3.6.1.4.1.2021.10.1.6	laLoadFloat
1.3.6.1.4.1.2021.10.1.100	laErrorFlag
1.3.6.1.4.1.2021.10.1.101	laErrMessage
1.3.6.1.4.1.2021.11	systemStats
1.3.6.1.4.1.2021.11.1	ssIndex
1.3.6.1.4.1.2021.11.2	ssErrorName
1.3.6.1.4.1.2021.11.3	ssSwapIn
1.3.6.1.4.1.2021.11.4	ssSwapOut
1.3.6.1.4.1.2021.11.5	ssIOSent
1.3.6.1.4.1.2021.11.6	ssIOReceive
1.3.6.1.4.1.2021.11.7	ssSysInterrupts
1.3.6.1.4.1.2021.11.8	ssSysContext
1.3.6.1.4.1.2021.11.9	ssCpuUser
1.3.6.1.4.1.2021.11.10	ssCpuSystem
1.3.6.1.4.1.2021.11.11	ssCpuIdle
1.3.6.1.4.1.2021.11.50	ssCpuRawUser
1.3.6.1.4.1.2021.11.51	ssCpuRawNice
1.3.6.1.4.1.2021.11.52	ssCpuRawSystem
1.3.6.1.4.1.2021.11.53	ssCpuRawIdle
1.3.6.1.4.1.2021.11.54	ssCpuRawWait
1.3.6.1.4.1.2021.11.55	ssCpuRawKernel
1.3.6.1.4.1.2021.11.56	ssCpuRawInterrupt
1.3.6.1.4.1.2021.11.57	ssIORawSent
1.3.6.1.4.1.2021.11.58	ssIORawReceived
1.3.6.1.4.1.2021.11.59	ssRawInterrupts
1.3.6.1.4.1.2021.11.60	ssRawContexts
1.3.6.1.4.1.2021.11.61	ssCpuRawSoftIRQ
1.3.6.1.4.1.2021.11.62	ssRawSwapIn
1.3.6.1.4.1.2021.11.63	ssRawSwapOut
1.3.6.1.4.1.2021.12	ucdInternal
1.3.6.1.4.1.2021.13	ucdExperimental
1.3.6.1.4.1.2021.15	fileTable
1.3.6.1.4.1.2021.15.1	fileEntry
1.3.6.1.4.1.2021.15.1.1	fileIndex
1.3.6.1.4.1.2021.15.1.2	fileName
1.3.6.1.4.1.2021.15.1.3	fileSize
1.3.6.1.4.1.2021.15.1.4	fileMax
1.3.6.1.4.1.2021.15.1.100	fileErrorFlag
1.3.6.1.4.1.2021.15.1.101	fileErrorMsg
1.3.6.1.4.1.2021.16	logMatch
1.3.6.1.4.1.2021.16.1	logMatchMaxEntries
1.3.6.1.4.1.2021.16.2	logMatchTable
1.3.6.1.4.1.2021.16.2.1	logMatchEntry
1.3.6.1.4.1.2021.16.2.1.1	logMatchIndex
1.3.6.1.4.1.2021.16.2.1.2	logMatchName
1.3.6.1.4.1.2021.16.2.1.3	logMatchFilename
1.3.6.1.4.1.2021.16.2.1.4	logMatchRegEx
1.3.6.1.4.1.2021.16.2.1.5	logMatchGlobalCounter
1.3.6.1.4.1.2021.16.2.1.6	logMatchGlobalCount
1.3.6.1.4.1.2021.16.2.1.7	logMatchCurrentCounter
1.3.6.1.4.1.2021.16.2.1.8	logMatchCurrentCount
1.3.6.1.4.1.2021.16.2.1.9	logMatchCounter
1.3.6.1.4.1.2021.16.2.1.10	logMatchCount
1.3.6.1.4.1.2021.16.2.1.11	logMatchCycle
1.3.6.1.4.1.2021.16.2.1.100	logMatchErrorFlag
1.3.6.1.4.1.2021.16.2.1.101	logMatchRegExCompilation
1.3.6.1.4.1.2021.100	version
1.3.6.1.4.1.2021.100.1	versionIndex
1.3.6.1.4.1.2021.100.2	versionTag
1.3.6.1.4.1.2021.100.3	versionDate
1.3.6.1.4.1.2021.100.4	versionCDate
1.3.6.1.4.1.2021.100.5	versionIdent
1.3.6.1.4.1.2021.100.6	versionConfigureOptions
1.3.6.1.4.1.2021.100.10	versionClearCache
1.3.6.1.4.1.2021.100.11	versionUpdateConfig
1.3.6.1.4.1.2021.100.12	versionRestartAgent
1.3.6.1.4.1.2021.100.13	versionSavePersistentData
1.3.6.1.4.1.2021.100.20	versionDoDebugging
1.3.6.1.4.1.2021.101	snmperrs
1.3.6.1.4.1.2021.101.1	snmperrIndex
1.3.6.1.4.1.2021.101.2	snmperrNames
1.3.6.1.4.1.2021.101.100	snmperrErrorFlag
1.3.6.1.4.1.2021.101.101	snmperrErrMessage
1.3.6.1.4.1.2021.102	mrTable
1.3.6.1.4.1.2021.102.1	mrEntry
1.3.6.1.4.1.2021.102.1.1	mrIndex
1.3.6.1.4.1.2021.102.1.2	mrModuleName
1.3.6.1.4.1.2021.250	ucdSnmpAgent
1.3.6.1.4.1.2021.250.1	hpux9
1.3.6.1.4.1.2021.250.2	sunos4
1.3.6.1.4.1.2021.250.3	solaris
1.3.6.1.4.1.2021.250.4	osf
1.3.6.1.4.1.2021.250.5	ultrix
1.3.6.1.4.1.2021.250.6	hpux10
1.3.6.1.4.1.2021.250.7	netbsd1
1.3.6.1.4.1.2021.250.8	freebsd
1.3.6.1.4.1.2021.250.9	irix
1.3.6.1.4.1.2021.250.10	linux
1.3.6.1.4.1.2021.250.11	bsdi
1.3.6.1.4.1.2021.250.12	openbsd
1.3.6.1.4.1.2021.250.13	win32
1.3.6.1.4.1.2021.250.14	hpux11
1.3.6.1.4.1.2021.250.255	unknown
1.3.6.1.4.1.2021.251	ucdTraps
1.3.6.1.4.1.2021.251.1	ucdStart
1.3.6.1.4.1.2021.251.2	ucdShutdown
1.3.6.1.5	security
1.3.6.1.6	snmpV2
1.3.6.1.6.1	snmpDomains
1.3.6.1.6.2	snmpProxys
1.3.6.1.6.3	snmpModules
0.0	zeroDotZero
